episode,reward,steps,success_ge_200
1,221.96094396237538,262,1
2,269.3775129225478,195,1
3,-11.813526786267076,111,0
4,239.20969465098833,346,1
5,253.99136021715995,293,1
6,277.4742493452134,179,1
7,58.35232040725538,115,0
8,39.94813743795305,92,0
9,262.2138762988712,194,1
10,233.12723460432673,772,1
11,48.30560264086978,137,0
12,285.3172100381597,218,1
13,-17.20386856718055,125,0
14,261.8068474159014,235,1
15,241.2528098160044,282,1
16,255.45576979237836,204,1
17,26.382852269697892,142,0
18,56.575254294072636,161,0
19,220.15274097454773,417,1
20,266.1639107781451,233,1
21,249.5671297035938,265,1
22,-156.32452794458803,128,0
23,256.1010619858821,203,1
24,25.29738752263458,92,0
25,46.82669112257523,110,0
26,256.7780867643718,263,1
27,52.602301032391296,127,0
28,56.94572004661052,114,0
29,-0.45388408547653114,110,0
30,282.33767034112606,493,1
31,240.5845330556515,313,1
32,252.68485701367237,290,1
33,257.094508736648,378,1
34,235.11282882114773,379,1
35,294.5189188546415,201,1
36,268.877055216134,386,1
37,60.008365479893115,128,0
38,261.02683049966856,261,1
39,216.33386564361078,382,1
40,267.48263773721294,392,1
41,189.7302697309539,916,0
42,64.50894904117268,161,0
43,255.04810039738493,282,1
44,50.4984478400614,120,0
45,30.34265756090855,87,0
46,238.2310712609365,236,1
47,281.2460995815935,190,1
48,60.36612335919381,85,0
49,-34.98743042835173,87,0
50,-20.87431779403721,116,0
