episode,reward,steps,success_ge_200
1,126.00821711903083,1000,0
2,158.05148060891918,1000,0
3,144.75812485115182,1000,0
4,158.48750636574047,1000,0
5,159.72615503090273,1000,0
6,167.07348310861514,1000,0
7,76.90248689192222,124,0
8,68.65682543005872,108,0
9,152.9447583276461,1000,0
10,50.612267041527986,121,0
11,159.4017572313752,1000,0
12,48.32956353401505,124,0
13,52.32245964144687,124,0
14,161.5560526708951,1000,0
15,145.05234590711342,1000,0
16,150.4494700364267,1000,0
17,-22.041206234477784,112,0
18,66.94942123661781,113,0
19,137.6933483350187,1000,0
20,269.5972826783024,225,1
21,261.4758986345129,160,1
22,45.82255460174008,113,0
23,57.628963898305045,113,0
24,166.77190784099446,1000,0
25,68.72368958904835,114,0
26,161.56968971347638,1000,0
27,50.93543361991354,131,0
28,56.05551791258779,121,0
29,164.253118305725,1000,0
30,181.69820536419178,1000,0
31,156.45046148648228,1000,0
32,59.530387780170344,118,0
33,178.73674507607984,1000,0
34,157.68081829502484,1000,0
35,160.45064307401017,1000,0
36,293.2454626486145,236,1
37,159.1148367106741,1000,0
38,149.06091195611293,1000,0
39,162.38458251595418,1000,0
40,187.9535850072475,1000,0
41,167.84886533783651,1000,0
42,61.306788676182805,163,0
43,154.5246132215553,1000,0
44,255.51413121824197,198,1
45,293.58690399838264,194,1
46,146.0982136299678,1000,0
47,152.92503816014354,1000,0
48,74.0198065784719,101,0
49,67.80625774671623,125,0
50,47.17415024820565,116,0
