episode,reward,steps,success_ge_200
1,181.94665386533973,253,0
2,-7.487488513386538,132,0
3,205.78072839516204,204,1
4,-102.05594393418525,102,0
5,200.80810626775565,262,1
6,185.54476273828308,299,0
7,-163.91238480692073,256,0
8,212.86422956451207,519,1
9,182.2198612502125,220,0
10,199.00793393751485,187,0
11,-5.643623415914703,195,0
12,-35.22456223471471,196,0
13,314.36247307922343,256,1
14,-170.83458977805745,228,0
15,202.011233676517,245,1
16,191.30093351095383,236,0
17,309.49346579248913,260,1
18,-23.502190891884666,232,0
19,168.31173236861633,259,0
20,246.41416547515303,461,1
21,158.08813651164738,329,0
22,229.277555311064,218,1
23,205.20502177990983,243,1
24,-68.85960758325464,444,0
25,-39.35833893782774,113,0
26,204.08987018850235,289,1
27,-28.565437303786283,179,0
28,-75.45920744138652,378,0
29,227.17913447518254,283,1
30,208.14597822070948,254,1
31,147.60688592478164,456,0
32,241.39098722155398,222,1
33,-78.89454291400949,104,0
34,207.83292982799617,267,1
35,250.12410034065311,312,1
36,105.07482958416644,1000,0
37,-97.63279025680383,224,0
38,162.32965524121346,350,0
39,207.924736316036,186,1
40,-55.686245506175496,453,0
41,230.7296793728116,207,1
42,-143.51345583436108,289,0
43,152.21897086931716,314,0
44,-43.9978327056708,131,0
45,197.36921233623275,257,0
46,-188.32151921118088,350,0
47,208.30440482055369,226,1
48,252.62572814437297,317,1
49,247.82702721159004,222,1
50,304.81647904191027,223,1
