episode,reward,steps,success_ge_200
1,116.57562994872778,1000,0
2,254.61358330148406,912,1
3,140.17392703452578,1000,0
4,264.6991757791084,264,1
5,287.0581202660172,207,1
6,-199.2906272614659,121,0
7,204.27544447188103,537,1
8,-200.78906581480044,94,0
9,237.0434513478492,160,1
10,160.4139493669737,1000,0
11,-32.61309159341569,118,0
12,172.72479124150829,1000,0
13,248.98428431619354,430,1
14,-173.52083363013978,108,0
15,159.44095609968755,1000,0
16,264.87453571533035,231,1
17,-207.2437784475934,326,0
18,-311.8413339577435,116,0
19,138.36403611039188,1000,0
20,-13.793328554098139,128,0
21,-168.4605511339081,126,0
22,245.51267267117146,216,1
23,165.4580026006452,1000,0
24,156.68039282194488,1000,0
25,126.83757171702487,1000,0
26,-9.223696147422856,148,0
27,-171.2523404103032,128,0
28,201.26295256006057,250,1
29,149.04308283318622,1000,0
30,-57.941220302694205,104,0
31,170.20327108156198,1000,0
32,149.7795115149666,1000,0
33,285.2304805103108,307,1
34,-10.204117004999219,129,0
35,195.61096185370198,1000,0
36,-48.246327634633474,119,0
37,-173.86076873353113,108,0
38,253.48492536169377,170,1
39,-4.855071022824077,117,0
40,-137.52967676969524,160,0
41,-263.546768252781,101,0
42,-109.26486331182235,125,0
43,251.8154217074698,609,1
44,240.83846206742112,690,1
45,275.85550737264236,696,1
46,-9.707600581236676,129,0
47,-185.7090076480224,102,0
48,30.428993790177884,97,0
49,175.37930350300297,1000,0
50,24.086430628067248,118,0
